"index","station","Date","Present_Tmax","Present_Tmin","lat","lon","DEM","Slope","Solar radiation","Next_Tmax","Next_Tmin"
1,1,2013-06-30,28.7,21.4,37.6046,126.991,212.335,2.785,5992.895996,29.1,21.2
2,1,2013-07-01,28.3,21.2,37.6046,126.991,212.335,2.785,5987.71875,24.8,18.7
3,1,2013-07-02,24.4,20.6,37.6046,126.991,212.335,2.785,5981.979492,28.1,17.8
4,1,2013-07-03,27.9,17.9,37.6046,126.991,212.335,2.785,5975.67627,25.2,20.8
5,1,2013-07-04,24.9,21.5,37.6046,126.991,212.335,2.785,5968.809082,28,19.7
6,1,2013-07-05,27.8,19.9,37.6046,126.991,212.335,2.785,5961.377441,28.2,19.3
7,1,2013-07-06,27.6,19.6,37.6046,126.991,212.335,2.785,5953.376953,27.1,19.9
8,1,2013-07-07,25.9,20.1,37.6046,126.991,212.335,2.785,5944.778809,23.4,20.2
9,1,2013-07-08,23.1,20.5,37.6046,126.991,212.335,2.785,5935.615234,23,21.6
10,1,2013-07-09,26.9856209150327,21.1647058823529,37.6046,126.991,212.335,2.785,5925.883789,23.4,22
11,1,2013-07-10,23.3,22,37.6046,126.991,212.335,2.785,5915.583496,22.4,21.7
12,1,2013-07-11,22.4,21.7,37.6046,126.991,212.335,2.785,5904.711426,21.8,21.1
13,1,2013-07-12,26.9856209150327,21.1647058823529,37.6046,126.991,212.335,2.785,5893.265625,23.2,20.5
14,1,2013-07-13,22.9,20.5,37.6046,126.991,212.335,2.785,5881.220703,23.2,21.2
15,1,2013-07-14,23.1,21.3,37.6046,126.991,212.335,2.785,5868.59668,26.1,22
16,1,2013-07-15,25.8,22.1,37.6046,126.991,212.335,2.785,5855.396973,25.7,22.4
17,1,2013-07-16,25.2,23.3,37.6046,126.991,212.335,2.785,5841.619141,23.1,21.2
18,1,2013-07-17,22.7,21.2,37.6046,126.991,212.335,2.785,5827.258789,24.8,21.9
19,1,2013-07-18,26.9856209150327,21.1647058823529,37.6046,126.991,212.335,2.785,5812.293457,27.6,21.8
20,1,2013-07-19,27.3,21.8,37.6046,126.991,212.335,2.785,5796.745117,27.5,22.5
21,1,2013-07-20,27.1,22.6,37.6046,126.991,212.335,2.785,5780.611328,25.6,22.9
22,1,2013-07-21,25.2,23,37.6046,126.991,212.335,2.785,5763.888672,26.8,22.2
23,1,2013-07-22,26.2,22.3,37.6046,126.991,212.335,2.785,5746.562988,23.8,22.7
24,1,2013-07-23,23.7,22.8,37.6046,126.991,212.335,2.785,5728.64502,25.7,20.1
25,1,2013-07-24,25,20.5,37.6046,126.991,212.335,2.785,5710.657227,27.7,20.1
26,1,2013-07-25,27.2,20.1,37.6046,126.991,212.335,2.785,5691.504395,29.1,20.6
27,1,2013-07-26,28.4,20.7,37.6046,126.991,212.335,2.785,5671.775879,29.2,20.6
28,1,2013-07-27,28.8,20.7,37.6046,126.991,212.335,2.785,5651.470703,24.1,21.2
29,1,2013-07-28,24,21.3,37.6046,126.991,212.335,2.785,5630.507813,26.8,21.5
30,1,2013-07-29,26,22.2,37.6046,126.991,212.335,2.785,5608.969238,27.9,20.9
31,1,2013-07-30,26.5,21.1,37.6046,126.991,212.335,2.785,5586.851563,26.9,22.1
32,1,2013-07-31,25.9,22.1,37.6046,126.991,212.335,2.785,5564.09082,30.3,21.7
33,1,2013-08-01,29.7,21.8,37.6046,126.991,212.335,2.785,5540.737793,26.8,22.3
34,1,2013-08-02,26.3,22.6,37.6046,126.991,212.335,2.785,5516.807129,29.5,23.8
35,1,2013-08-03,28.9,23.8,37.6046,126.991,212.335,2.785,5492.255371,28.9,23.2
36,1,2013-08-04,28.1,23.3,37.6046,126.991,212.335,2.785,5467.114258,27.7,23.1
37,1,2013-08-05,26.5,23.4,37.6046,126.991,212.335,2.785,5441.393066,24.8,20.5
38,1,2013-08-06,24.8,20.6,37.6046,126.991,212.335,2.785,5415.057617,29.9,22.9
39,1,2013-08-07,29.3,23.2,37.6046,126.991,212.335,2.785,5388.140137,30.3,24.4
40,1,2013-08-08,26.9856209150327,21.1647058823529,37.6046,126.991,212.335,2.785,5360.637207,28.4,25.1
41,1,2013-08-09,28.4,25.1,37.6046,126.991,212.335,2.785,5332.533691,27.6,23.6
42,1,2013-08-10,27.1,24.5,37.6046,126.991,212.335,2.785,5304.412598,31.4,22.3
43,1,2013-08-11,30.7,22.4,37.6046,126.991,212.335,2.785,5275.070313,30.6,23.9
44,1,2013-08-12,30,24.4,37.6046,126.991,212.335,2.785,5245.199219,30.8,23.6
45,1,2013-08-13,30.3,23.7,37.6046,126.991,212.335,2.785,5214.742188,30.9,23.3
46,1,2013-08-14,29.7,23.4,37.6046,126.991,212.335,2.785,5183.697266,29.5,23.5
47,1,2013-08-15,28.8,23.6,37.6046,126.991,212.335,2.785,5152.121094,29.1,23.5
48,1,2013-08-16,28.7,23.9,37.6046,126.991,212.335,2.785,5119.919922,29.3,24.3
49,1,2013-08-17,28.5,24.3,37.6046,126.991,212.335,2.785,5087.199707,29.6,23.2
50,1,2013-08-18,28.8,24.4,37.6046,126.991,212.335,2.785,5053.921387,30.3,22.8
51,1,2013-08-19,29.4,23.2,37.6046,126.991,212.335,2.785,5020.102051,30.1,21.4
52,1,2013-08-20,29.3,21.7,37.6046,126.991,212.335,2.785,4985.76123,30.8,22.1
53,1,2013-08-21,29.8,22.2,37.6046,126.991,212.335,2.785,4950.874023,30.4,24
54,1,2013-08-22,30,24,37.6046,126.991,212.335,2.785,4915.481445,26,21.1
55,1,2013-08-23,25.8,21.3,37.6046,126.991,212.335,2.785,4879.562012,29.1,20.1
56,1,2013-08-24,28.9,20.2,37.6046,126.991,212.335,2.785,4843.14209,29.6,19.8
57,1,2013-08-25,29.4,20.4,37.6046,126.991,212.335,2.785,4806.717773,29.6,21.3
58,1,2013-08-26,28.7,21.4,37.6046,126.991,212.335,2.785,4769.281738,27.3,20.2
59,1,2013-08-27,26.3,20.6,37.6046,126.991,212.335,2.785,4731.345215,28.3,20.2
60,1,2013-08-28,27.7,20.3,37.6046,126.991,212.335,2.785,4692.945313,24.2,20.8
61,1,2013-08-29,24,21.3,37.6046,126.991,212.335,2.785,4654.086426,25.6,19.5
62,1,2013-08-30,25.2,19.9,37.6046,126.991,212.335,2.785,4614.76123,26.6,18.6
63,1,2014-06-30,26.7,18.8,37.6046,126.991,212.335,2.785,5992.895996,28.6,18.6
64,1,2014-07-01,28.3,18.8,37.6046,126.991,212.335,2.785,5987.71875,27.7,19.5
65,1,2014-07-02,27.3,20.1,37.6046,126.991,212.335,2.785,5981.979492,21.6,18.4
66,1,2014-07-03,21.2,18.4,37.6046,126.991,212.335,2.785,5975.67627,30.3,19.3
67,1,2014-07-04,29.1,19.3,37.6046,126.991,212.335,2.785,5968.809082,26.7,20.7
68,1,2014-07-05,26.1,20.9,37.6046,126.991,212.335,2.785,5961.377441,27.4,20.8
69,1,2014-07-06,27.4,20.9,37.6046,126.991,212.335,2.785,5953.376953,31.2,19.5
70,1,2014-07-07,30.8,19.6,37.6046,126.991,212.335,2.785,5944.778809,27.5,21
71,1,2014-07-08,25.7,21.4,37.6046,126.991,212.335,2.785,5935.615234,30.9,22.5
72,1,2014-07-09,28.6,22.6,37.6046,126.991,212.335,2.785,5925.883789,31.4,22.4
73,1,2014-07-10,30.4,23.2,37.6046,126.991,212.335,2.785,5915.583496,30.5,19.9
74,1,2014-07-11,30.1,19.9,37.6046,126.991,212.335,2.785,5904.711426,27,19.9
75,1,2014-07-12,26.3,20,37.6046,126.991,212.335,2.785,5893.265625,27.4,20.9
76,1,2014-07-13,26.5,21,37.6046,126.991,212.335,2.785,5881.220703,28.3,20
